alarm_date,cont_date,gis_acres,cause_name,cause_category,subregion_id,subregion_name,subregion_area,road_distance,urban_distance,veg_level,build_density,pop_density
1980-01-03T00:00:00Z,NA,5.6326604,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.6,0,0.034,2.6444,1653.5558
1980-02-06T00:00:00Z,NA,76.976036,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.4,0,0.1162,0.6637,107.6173
1980-03-18T00:00:00Z,NA,589.33405,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.9,0,0.0266,1.1561,539.4663
1980-03-20T00:00:00Z,NA,314.38696,Unknown / Unidentified,Other,8,South Interior,103810.781,1.4,57,0.9344,0.0413,0.6393
1980-04-11T00:00:00Z,NA,867.04755,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,5.5,3.9,0.027,1.8373,1007.3182
1980-04-11T00:00:00Z,NA,2898.1746,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.5,0.1,0.0395,2.0377,1034.0124
1980-04-13T00:00:00Z,NA,48.228012,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,3.9,27.1,0.0226,0.4799,162.0029
1980-04-13T00:00:00Z,1980-04-14T00:00:00Z,475.69055,Debris,Human,2,North Interior,43000.296,0,16.5,0.6348,0.0645,4.2096
1980-04-21T00:00:00Z,NA,20.03146,Miscellaneous,Other,1,North Coast and Montane,64191.163,40.4,39.5,0.6495,0.0471,3.1979
1980-05-04T00:00:00Z,1980-05-05T00:00:00Z,30.576714,Miscellaneous,Other,3,North Sierran,21000.148,23.5,21.7,0.8383,0.114,20.1939
1980-05-17T00:00:00Z,NA,168.18715,Unknown / Unidentified,Other,5,Central Valley,74899.613,5.1,8.4,0.4744,0.2639,100.5672
1980-05-22T00:00:00Z,NA,335.37445,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,3.3,6.6,0.0984,0.6109,99.0236
1980-05-23T00:00:00Z,NA,13.433221,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.1,3.7,0.0892,1.0054,364.8704
1980-05-24T00:00:00Z,NA,397.42947,Unknown / Unidentified,Other,8,South Interior,103810.781,1.4,6.6,0.0982,0.6168,101.8079
1980-05-30T00:00:00Z,NA,14.992289,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4,3.7,0.0935,1.0069,363.9048
1980-06-08T00:00:00Z,NA,691.914,Unknown / Unidentified,Other,8,South Interior,103810.781,3.3,7.2,0.3122,0.4329,115.0141
1980-06-11T00:00:00Z,NA,21.89922,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.8,13.3,0.0228,0.9318,450.8895
1980-06-12T00:00:00Z,NA,741.66516,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,13.2,6.6,0.4424,0.0541,7.967
1980-06-13T00:00:00Z,1980-06-14T00:00:00Z,105.56902,Equipment Use,Human,7,South Coast and Montane,42488.862,9.1,7.6,0.0234,0.7,300.9221
1980-06-16T00:00:00Z,NA,5.0691309,Lightning,Natural,4,South Sierran,31366.273,38.8,46,1.5228,0.0331,0.8767
1980-06-16T00:00:00Z,NA,13.493208,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,1.9,0,0.0238,1.2397,539.5213
1980-06-19T00:00:00Z,NA,28.035288,Miscellaneous,Other,5,Central Valley,74899.613,21.9,16.7,2.251,0.0987,18.8146
1980-06-19T00:00:00Z,NA,138.56068,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,3.5,0.8,0.8055,0.5653,211.6443
1980-06-19T00:00:00Z,NA,125.38627,Unknown / Unidentified,Other,8,South Interior,103810.781,0,0,0.0373,0.6277,153.8032
1980-06-19T00:00:00Z,NA,6.5964665,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.8,3.5,0.0247,1.3846,669.9071
1980-06-19T00:00:00Z,NA,7.8027911,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,4.9,6.4,0.027,1.8022,979.8827
1980-06-21T00:00:00Z,NA,924.33783,Unknown / Unidentified,Other,7,South Coast and Montane,42488.862,0.7,0,0.0768,0.8982,331.126
1980-06-21T00:00:00Z,1980-06-22T00:00:00Z,109.64606,Miscellaneous,Other,5,Central Valley,74899.613,47.4,46.6,1.4959,0.0379,2.3504
1980-06-22T00:00:00Z,NA,281.38608,Unknown / Unidentified,Other,5,Central Valley,74899.613,8.4,8.1,0.7766,0.3584,143.5715
1980-06-22T00:00:00Z,NA,395.21317,Unknown / Unidentified,Other,6,Central Coast and Montane,38989.393,15.2,8.8,0.4338,0.0548,6.9992
1980-06-23T00:00:00Z,NA,105.20207,Unknown / Unidentified,Other,8,South Interior,103810.781,0.1,0,0.0363,0.723,188.5976
1980-06-24T00:00:00Z,1980-06-25T00:00:00Z,11.775897,Arson,Human,4,South Sierran,31366.273,34.6,50.1,1.322,0.0216,0.6783
1980-06-25T00:00:00Z,NA,145.42618,Unknown / Unidentified,Other,5,Central Valley,74899.613,3,10.4,0.7512,0.1773,32.5151
